,dhlabid,urn,lenker,title,authors,oaiid,city,year,publisher,langs,subjects,ddc,genres,literaryform,kristin,sesamid,isbn10,timestamp,doctype,ocr_creator,ocr_timestamp
9998,100147006,URN:NBN:no-nb_digibok_2013042305056,Vis element,"Benny, boksaren","Lundgren , Max / Nygren , Tord / Rosse , Øystein",,Oslo,1984,Samlaget,nno / swe,Mobbing / lettlest / lettlesningsbøker / ungdomsbøker / samfunnskritikk / mobbing / barn,839.73,fiction,Skjønnlitteratur,,,,,,,
9999,100202972,URN:NBN:no-nb_digibok_2014050906037,Vis element,Koseputa,"Jaensson , Håkan / Midtbø , Hanna / Grähs , Gunna / Grähs , Gunna / Norlin , Arne",,Oslo,1984,Samlaget,nno / swe,barnebøker / billedbøker / koseting / nonsens / skjønnlitteratur / biletbøker,839.73,fiction,Skjønnlitteratur,,,,,,,
10000,100215444,URN:NBN:no-nb_digibok_2014062607102,Vis element,Sampo Lappelill : eit eventyr frå finsk Lappland,"Topelius , Zacharias / Vesaas , Halldis Moren / Frick , Lennart / Leo , Veronica",,Oslo,1984,Samlaget,nno / swe,"samer / billedbøker / barnebøker / kunsteventyr / eventyr / samiskeeventyr,",839.73,fiction,Skjønnlitteratur,,,,,,,
10001,100213950,URN:NBN:no-nb_digibok_2014071608016,Vis element,Mi storesyster,"Widerberg , Siv / Midtbø , Hanna / Torudd , Cecilia",,Oslo,1984,Samlaget,nno / swe,søskensjalusi / billedbøker / søsken / barnebøker / foreldre / barn / sjalusi,839.73,fiction,Skjønnlitteratur,,,,,,,
10002,100340619,URN:NBN:no-nb_digibok_2017070307059,Vis element,Kvite fjør blant bleikansikta,"Ericson , Stig / Sund , Torvald / Stödberg , Nils",,[Stabekk],1984,Bokklubbens barn,nno / swe,Indianere / indianere,839.73,fiction,Skjønnlitteratur,,,,,,,
10003,100359437,URN:NBN:no-nb_digibok_2017122148105,Vis element,Det gjeld deg : ei konfirmantbok,"Kildal , Harald / Carlquist , Jan / Møen , Leiv I.",,Oslo,1984,Luther i samarbeid med Institutt for kristen oppseding,nno / swe,konfirmantundervisning,268,,Faglitteratur,,,,,,,
10004,100600431,URN:NBN:no-nb_digibok_2021062248676,Vis element,Reven og nissen,"Lindgren , Astrid / Forslund , Karl Erik / Wiberg , Harald / Vesaas , Halldis Moren",,[Stabekk],1984,Bokklubbens barn,nno / swe,,839.73,fiction,Skjønnlitteratur,,,,,,,
10005,100027089,URN:NBN:no-nb_digibok_2007062704045,Vis element,"Vi former : høytidene i hjem, menighet og skole","Eckhoff , Julie Waaler / Aasgaard , Anne Marie / Paulsen , Astrid . / Eckhoff , Julie",,[Oslo],1984,Institutt for kristen oppseding : IKO's læremidler,nob,Tradisjoner / julepynt / påskepynt / høytider / kristendomsundervisning / påskepinse / jul / forming / aktivitetsbok / advent / høytidsdager / barneskoler / undervisningsfag / skikker / folkelivsgransking / formingshobbier / formingshobbyer / barnearbeid / skole,745.594,,Faglitteratur,,,,,,,
10006,100523379,URN:NBN:no-nb_digibok_2007071200004,Vis element,Det kalles visst kjærlighet,"Fretheim , Tor / Hansen , Thore",,Oslo,1984,Gyldendal,nob,Sorg / Generasjonsmotsetninger / skjønnlitteratur/voksen / ungdomslitteratur / ungdomsbøker / døden / barn / foreldre,839.823,fiction,Skjønnlitteratur,,,,,,,
10007,100027140,URN:NBN:no-nb_digibok_2007071204050,Vis element,Frans fra Assisi,"Huseby , Reidar / Stoltenberg , Veslemøy Nystedt",,Oslo,1984,Gyldendal,nob,Biografier,271,,Faglitteratur,,,,,,,
10008,100525266,URN:NBN:no-nb_digibok_2007071600006,Vis element,Fra barn til voksen,"Songe-Møller , Niels / Rasmussen , Elisabeth Juell",,Oslo,1984,Universitetsforlaget,nob,Child Development / Samliv / Pubertet / samlivslære / seksualopplysning / samliv / pubertet / seksualitetungdom / barn / kjønnsliv / vekst / fysiologi / seksualpsykologi / grunnskolen / forplantning / utvikling / kjønnsmodning / barnebøker,,,Fag,Fag,,,,,,
10009,100523056,URN:NBN:no-nb_digibok_2007071700090,Vis element,De skapte historie,"Floyd , Elizabeth / Hindley , Geoffrey / Hertadstveit , Per Øyvind",,Oslo,1984,Faktum,nob,biografier / historie / verdenshistorie / biografi,920,,Faglitteratur,,,,,,,
10010,100026271,URN:NBN:no-nb_digibok_2007071800048,Vis element,Fint at ikke alle er like-,"Abrahamsen , Aase Foss / Solem , Svein",,Oslo,1984,Gyldendal,nob,skjønnlitteratur/barn-ungdom / barnelitteratur / adoptivbarn / adopsjon / fortellinger / barn / korea / (republikken) / rasisme,,,Skjønn,Skjønn,,,,,,
10011,100523450,URN:NBN:no-nb_digibok_2007071804048,Vis element,Veien til Agra,"Sommerfelt , Aimée / Aas , Ulf",,Oslo,1984,Damm,nob,India / barnelitteratur / india,839.823,fiction,Skjønnlitteratur,,,,,,,
10012,100520772,URN:NBN:no-nb_digibok_2007080801069,Vis element,Lyskasteren : andaktsbok for ungdom,"Sjaastad , Egil",,Oslo,1984,Lunde,nob,Andaktsbøker / andaktsbøker / ungdom,243,,Faglitteratur,,,,,,,
10013,100523113,URN:NBN:no-nb_digibok_2007080904094,Vis element,Så rart,"Hagerup , Inger / Gauguin , Paul René",,[Stabekk],1984,Bokklubbens barn,nob,dikt / barnebøker / barnepoesi,839.821,poetry,Skjønnlitteratur,,,,,,,
